,name,latitude,longitude
453,Pulaski Park,40.80524231162845,-73.9245656895568
454,Langston Hughes Playground,40.81220257604958,-73.94638016465774
455,Kwame Ture Recreation Center,40.84406292089336,-73.9189431652104
456,Madison Square Park,40.74151104195676,-73.9881732282803
457,Fort Hamilton Athletic Field,40.62717677002944,-74.03936221667254
458,Dr. Charles R. Drew Park,40.68072291959761,-73.80303336092973
459,Lieutenant John H. Martinson Playground,40.53638146337103,-74.16351375419593
460,Harlem River Park,40.8036321246064,-73.93091882538891
461,Frederick Johnson Playground,40.824673015782544,-73.9354453029224
462,Edenwald Playground,40.88436250391126,-73.84500475613086
463,Grant Park,40.8378238780483,-73.9121311607944
464,Ramon Aponte Park,40.76144787375696,-73.98935059930906
465,Reiff Playground,40.71884682273935,-73.90193519021166
466,Lincoln Terrace / Arthur S. Somers Park,40.66678748361877,-73.92692598758381
467,Caserta Playground,40.83733787007535,-73.85402945267742
468,Winthrop Playground,40.6566043017748,-73.95416851772903
469,Pearl St Playground,40.707918417500174,-74.00392587102318
470,South Oxford Park,40.68370664092553,-73.97262133696675
471,Helen Marshall Playground,40.7650797547779,-73.87138743106726
472,Captain Rivera Playground,40.817941022717015,-73.90679637169491
473,Mazzei Playground,40.862502258504136,-73.85820236952526
474,Almeda Playground,40.59354374698784,-73.79468426411361
475,Moore Homestead Playground,40.74214193809958,-73.88239704690926
476,Abraham Lincoln Playground,40.8121951055187,-73.93718678520437
477,Harris Brothers Park,40.53307183774461,-74.2023079153839
478,John J Carty Park,40.611820532977056,-74.0316517501857
479,Brigadier General Charles Young Playground,40.81960253222186,-73.93622099808216
480,Arrochar Playground,40.59774332778295,-74.07093379469363
481,Constance Baker Motley Recreation Center,40.75648141893349,-73.96513008541265
482,McCaffrey Playground,40.75915059405394,-73.99138844408218
483,Skyline Playground,40.639399633728,-74.08952306937003
484,First Park,40.723517790893474,-73.98963948006019
485,Raymond Bush Playground,40.68658670172061,-73.93937522729014
486,Penn South Playground,40.7475923108068,-73.9986927967089
487,Clawson Playground,40.56147877434463,-74.12486959440076
488,Sedgwick Playground,40.84570161820687,-73.92338813643372
489,Gutenberg Playground,40.763797699136695,-73.99039760707905
490,Austin J. McDonald Playground,40.629607767677136,-74.11525422759787
